,110-Taglio,205-Curvatrice C118/X118,210-Curvatrice C257/X290/A236,220-Curvatrice X294/6,225-Curvatrice e sep. Macan,230-Separatrice C118/X118/a236,245-Separatrice X294/6,235-Separatrice C257/X290,310-Fresa Mazak,320-Fresa Kitamura,410-Saldatrice Macan RH,420-Saldatrice Macan LH,430-Saldatrice laser,610-Lucidatura,910-Verniciatura INT,1010/1020 Controllo estetico,1040-Piantaggio vite e spina C/X118 RH,1050-Piantaggio vite e spina C/X118 LH,1060-Piantaggio vite e spina C257/X290 RH,1100/1110-Controllo dimensionale,PULITURA MACAN,1080/1090-Imballaggio + controllo,Stampa Plastica,Aplicazione Biadesivo + Imballagio,Montaggio Clip,Controllo Prezenza Clip + Imballo
MACAN,107,0,0,0,56,0,0,0,0,58,40,40,0,0,30,30,0,0,0,0,23,0,0,0,0,0
C118,160,80,0,0,0,47,0,0,53,0,0,0,0,40,0,67,30,30,0,0,0,0,0,0,0,0
X118,160,80,0,0,0,47,0,0,53,0,0,0,0,40,0,67,30,30,0,0,0,0,0,0,0,0
X296,107,0,0,60,0,0,100,0,0,43,0,0,107,40,0,0,0,0,0,0,0,40,0,0,0,0
X294,107,0,0,60,0,0,100,0,0,43,0,0,107,40,0,0,0,0,0,0,0,40,0,0,0,0
C257,160,0,64,0,0,0,0,63,0,58,0,0,0,0,0,67,0,0,30,23,0,67,0,0,0,0
X290,160,0,64,0,0,0,0,63,0,58,0,0,0,0,0,67,0,0,30,23,0,67,0,0,0,0
A236,133,80,67,0,0,40,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,67,0,0,0,0
Volvo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,107,107,
LOOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,240,0,0
